username,password,role,patient_id
admin,admin123,Admin,
client1,pass1,Client,PT001
sam,sam123,Client,1234
aman,scrypt:32768:8:1$SWlIyHuNAn2cHGKk$52c90c03bc9d0e32db2771a0a9c328677eb704c4530ebe94a8f7dd65f70cfe4f6bbd2dbf0909b69175f4228adc74dcb781409e38cfdd401988d57564f032895b,Client,db4813e5-898d-4ba0-a765-b3a29dffc988
nik,scrypt:32768:8:1$QCbFNbovCDS4oXm3$c7c4341ee225a46b7ffb49dd6b1afd225c6b2229c21c8f81ccf95442fcbed09209bc8be810b76cd3b57cea2d1ef3fa8c1f5e7226e897d47b8d3c40250606145a,Admin,
hello,scrypt:32768:8:1$Z5WvfU1eIvgkVSGQ$d78eb467e305c6e68ef77300aca4c6fae4f6f04c21d25445f509318fc8c8278a5e633d670fc9e31ebec6d2a17d064439859a41dc17f27dec907b819588e0b772,Client,7d50faaf-4d15-466c-971f-df74e2105ac2
wd,scrypt:32768:8:1$NDXYYNHTZguTi3il$af570f9f5e59a32fe4bc613270aa981039c34df4b616b27db9cb856ecc94715a4210ad8dc69164cde8777a1ba4b9011650b6a892e8f9b37758515303e1b8c6d3,Admin,
aarya,scrypt:32768:8:1$857Z53c94aZEDvpD$a843e4cbeac378a186e0e2bee23f94fab09abece58f28ea2e006043ccaaf9aca00e8a44c83f30979175cc4a318bdaf9163c6d42dea7150daf5f224957eb32b28,Client,21
sanjeev,scrypt:32768:8:1$MAYqSeq0p8xH1ByI$e5f53a89084f5c8bea62326927dd2ed0d63ad66902ec172b3ca35e3eba9af56472f8e6d4cc9347cb933f7cb7ada535b396a7fa382108ef76358dc7688ee4d7bd,Client,e3f61b1f-5ad3-4017-9805-8e663ed0d7fc
dr,scrypt:32768:8:1$aH7W0O490pHvLkSx$13576f4e08b155908830ad3cb7d98b8d14ef5d6f04cf5617c38999ccb3fc15ee694c57d0985f590f46382806453962cb65d78f2bbcc5c8c92ab814d2df522e05,Client,dd7c90e2-2ee8-455e-b9e4-603d044be949
aa,scrypt:32768:8:1$GEu7dxhSzFzoDk6p$8fd28064f34d8aefb174d3d355be1be16ddae5208d056d85df51c4cfcff3b5d557d575addb2e9e27e536de538a52c05b194d9f9c8f20a1092191e2bf12a25938,Admin,
paratesr,scrypt:32768:8:1$iHUFBKrNQbeTscFk$0a28a6d82e243060471259ed68fcbb22cc3c26cc729f292df96cf769ea9040e16d15724be4608369cc88c0142f3f5be21222f78189a43c8f4d2f63277ef83d5d,Client,22f129eb-0de5-4f21-9182-ce5a0bd23ffe
medicare,scrypt:32768:8:1$Bwpy7RoEyk5NmP6R$8ef0e2259d4b79682a3d808df78298cf03093cb67e1a364fdb11b7a7dff53837eeceb0091c5e10424ac5b12478476a633f1999d0eaec6b480fb3cb460dadb84a,Admin,
op,scrypt:32768:8:1$Un4EUaBZ5qKmCrqB$f2ef8be077f238da11e6aa5fc8a7562a28626e3e285e9d814e7d1371d692eca86d9651d311dc8dc415eaddec04b4c23e9a3423e008f8fe092a4111db254e5893,Client,123
a,scrypt:32768:8:1$jK2SGIPvWj68Q4vw$3f25c8c524a4b2dc49286c38a5b44daf7e641d14190af9d5a19832ac95c0a7b9ff38e6fa7021c8a5bcacbb1d9484daca6eb12b20b7d8afee8a17cbef27439068,Client,45215e24-c945-4e8a-a843-fc1c1f9f7a5b
user65,scrypt:32768:8:1$MJBSFA5LfVZVLI0o$4099e8d1f17c77ab7bcf462db948b9960fe71dbb48a94b87f83aab1e12b5c6eec2623e23ec86bad4262d78736ee9ceaaa807dbbe7eeca673cc04c89135b220b4,Admin,
abc,scrypt:32768:8:1$AlxF4Cjgc9WWDBEJ$a8868b739241a1d2fa4e246f7bdbe7316b4498aa73f576d31205dc3e75c0d269e7ab524b55128cfbae250fa520a7dca733356acb4d11f3113015d09eebc14638,Admin,
xyz,scrypt:32768:8:1$bSbohlaYcENxqv7w$380676cb5ec337f2865c64be0a224e3051b42d5ee5ba5c4e83f3b678664778cff56bfcabd8c16ff8dc41369f5bcfc99d61f9a48396fd07b39216f61339cfc0f6,Client,639d4cdf-14a9-451f-be85-5cc15c2073ce
